,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,0,AU,1554424509,50,-33.64,115.35,286.48,4.06
1,New Norfolk,20,AU,1554424575,42,-42.78,147.06,292.04,4.6
2,Kapaa,75,US,1554424400,54,22.08,-159.32,301.15,5.7
3,Vestmannaeyjar,68,IS,1554424599,93,63.44,-20.27,276.317,1.66
4,Souillac,0,FR,1554424583,70,45.6,-0.6,282.04,5.1
5,Barrow,0,AR,1554424599,79,-38.31,-60.23,287.067,7.01
6,Steamboat Springs,40,US,1554424398,49,40.48,-106.83,286.15,1.16
7,Mataura,76,NZ,1554424208,60,-46.19,168.86,287.04,2.36
8,Chicama,20,PE,1554422400,88,-7.84,-79.15,294.15,4.1
9,Nemuro,0,JP,1554422400,38,43.32,145.57,278.15,1.5
10,Esperance,20,TT,1554424507,74,10.24,-61.45,299.15,2.6
11,Rikitea,0,PF,1554424601,100,-23.12,-134.97,297.917,7.36
12,Susaki,0,JP,1554423380,48,33.42,133.28,290.37,1.5
13,Coquimbo,0,CL,1554422400,87,-29.95,-71.34,288.15,2.6
14,Avarua,24,CK,1554422400,83,-21.21,-159.78,298.15,2.1
15,Hermanus,80,ZA,1554424305,90,-34.42,19.24,287.04,1.46
16,Vaini,24,IN,1554424602,84,15.34,74.49,292.417,0.81
17,Solnechnyy,48,RU,1554424602,75,50.72,136.64,272.067,1.86
18,Luderitz,0,NA,1554424602,76,-26.65,15.16,289.917,8.06
19,Huaral,20,PE,1554422400,83,-11.5,-77.21,295.15,6.7
20,Albany,20,US,1554424565,25,42.65,-73.75,277.59,5.7
21,Bluff,12,AU,1554424603,52,-23.58,149.07,298.617,6.01
22,Najran,0,SA,1554422400,40,17.54,44.22,296.15,5.1
23,Marsabit,12,KE,1554424604,78,2.34,37.99,295.567,2.01
24,Butaritari,88,KI,1554424604,100,3.07,172.79,298.817,2.36
25,Tiksi,0,RU,1554424604,71,71.64,128.87,269.767,2.66
26,Huazhou,76,CN,1554424605,99,21.65,110.64,293.767,2.76
27,Salta,75,AR,1554422400,87,-24.79,-65.41,291.15,1.5
28,Ilulissat,40,GL,1554421800,49,69.22,-51.1,269.15,10.3
29,Ponta do Sol,48,BR,1554424606,94,-20.63,-46.0,292.567,0.71
30,Acajutla,0,SV,1554420679,86,13.59,-89.83,298.15,1.34
31,Ibirite,0,BR,1554422400,69,-20.02,-44.06,298.15,3.1
32,Mao,20,DO,1554424516,73,19.55,-71.08,299.26,6.2
33,Airai,88,TL,1554424606,91,-8.93,125.41,294.467,0.46
34,Bria,0,CF,1554424607,43,6.54,21.99,297.567,3.86
35,Upernavik,8,GL,1554424607,87,72.79,-56.15,262.817,7.71
36,Yellowknife,20,CA,1554424328,51,62.45,-114.38,262.04,6.2
37,Banes,20,CU,1554421800,69,20.96,-75.72,299.15,8.2
38,Hithadhoo,64,MV,1554424394,100,-0.6,73.08,300.717,1.56
39,Faanui,80,PF,1554424608,100,-16.48,-151.75,300.467,3.16
40,Dikson,56,RU,1554424608,100,73.51,80.55,265.267,3.66
41,Thompson,90,CA,1554422400,79,55.74,-97.86,267.15,1.5
42,Pisco,75,PE,1554422400,78,-13.71,-76.2,295.15,5.7
43,Gopalpur,0,IN,1554424608,68,25.6,86.94,295.317,5.71
44,Bredasdorp,76,ZA,1554424291,71,-34.53,20.04,287.15,3.1
45,Cidreira,76,BR,1554424609,91,-30.17,-50.22,297.167,2.41
46,Khatanga,64,RU,1554424609,89,71.98,102.47,264.767,7.01
47,Los Llanos de Aridane,75,ES,1554424504,63,28.66,-17.92,290.15,3.1
48,Preveza,75,GR,1554421800,82,38.96,20.75,287.15,3.1
49,Ushuaia,75,AR,1554422400,86,-54.81,-68.31,277.15,6.2
50,Hobart,20,AU,1554424395,42,-42.88,147.33,292.04,4.6
51,Salekhard,32,RU,1554424610,84,66.54,66.62,269.217,6.11
52,Saint-Philippe,1,CA,1554424525,69,45.36,-73.48,273.71,6.2
53,Talnakh,68,RU,1554424611,82,69.49,88.39,264.917,1.96
54,Imeni Poliny Osipenko,80,RU,1554424611,76,52.42,136.49,272.967,2.86
55,Keti Bandar,0,PK,1554424611,92,24.14,67.45,299.517,5.66
56,Newport,92,GB,1554424327,93,51.59,-3.0,279.26,5.1
57,Sangar,0,RU,1554424612,65,63.92,127.47,270.717,1.31
58,Kortkeros,0,RU,1554424426,63,61.81,51.56,271.15,2.0
59,Chama,0,ZM,1554424612,70,-11.22,33.16,292.317,4.11
60,Porto Novo,0,BR,1554422400,69,-23.68,-45.44,297.15,2.1
61,Filadelfia,44,PY,1554424613,95,-22.35,-60.04,298.017,0.46
62,Mahebourg,20,MU,1554424442,88,-20.41,57.7,297.59,0.5
63,Oranjestad,20,AW,1554422400,74,12.52,-70.03,300.15,7.2
64,Synya,64,RU,1554424614,87,65.37,58.04,272.667,4.46
65,Port Alfred,92,ZA,1554424614,95,-33.59,26.89,290.37,1.79
66,Cape Town,75,ZA,1554424390,72,-33.93,18.42,288.15,6.2
67,Luocheng,44,CN,1554424614,100,28.29,114.55,285.417,1.96
68,Kostomuksha,92,RU,1554424615,97,64.59,30.6,273.467,1.51
69,Fonte Boa,8,BR,1554424615,90,-2.51,-66.09,299.267,0.86
70,Atuona,76,PF,1554424615,99,-9.8,-139.03,301.217,7.06
71,Leh,80,IN,1554424615,82,34.16,77.58,258.667,0.26
72,Alofi,75,NU,1554422400,79,-19.06,-169.92,302.15,5.7
73,Kroya,88,ID,1554424616,97,-6.5,108.06,295.567,1.81
74,Teknaf,88,BD,1554424616,94,20.86,92.31,296.767,1.01
